date,day,anchor_time,direction,entry,sl,tp,exit_price,risk_dollars,pnl,rr_achieved,outcome,exit_time
2026-01-15,Thursday,13:30,short,4593.75,4597.54,4582.36,4582.36,30,90.0,3.0,tp,2026-01-15 13:45:00
2026-01-16,Friday,13:30,long,4596.56,4590.58,4614.49,4614.49,30,90.0,3.0,tp,2026-01-16 14:45:00
2026-01-20,Tuesday,13:30,long,4728.24,4719.86,4753.36,4753.36,30,90.0,3.0,tp,2026-01-20 16:55:00
2026-01-21,Wednesday,13:30,long,4872.02,4870.51,4876.55,4876.55,30,90.0,3.0,tp,2026-01-21 13:40:00
2026-01-22,Thursday,13:30,short,4817.77,4822.76,4802.81,4822.76,30,-30.0,-1.0,sl,2026-01-22 14:00:00
2026-01-23,Friday,13:30,short,4930.51,4939.82,4902.58,4939.82,30,-30.0,-1.0,sl,2026-01-23 13:50:00
2026-01-27,Tuesday,13:30,short,5075.09,5080.85,5057.79,5080.85,30,-30.0,-1.0,sl,2026-01-27 13:50:00
2026-01-28,Wednesday,13:30,short,5274.22,5275.0,5271.87,5271.87,30,90.0,3.0,tp,2026-01-28 13:40:00
2026-01-29,Thursday,13:30,short,5508.26,5518.46,5477.68,5518.46,30,-30.0,-1.0,sl,2026-01-29 13:40:00
2026-01-30,Friday,13:30,long,5037.43,5025.89,5072.04,5025.89,30,-30.0,-1.0,sl,2026-01-30 13:45:00
2026-02-03,Tuesday,13:30,short,4930.1,4939.47,4901.99,4939.47,30,-30.0,-1.0,sl,2026-02-03 13:40:00
2026-02-12,Thursday,13:30,long,5074.44,5068.38,5092.62,5068.38,30,-30.0,-1.0,sl,2026-02-12 14:00:00
2026-02-17,Tuesday,13:30,long,4921.61,4911.88,4950.8,4911.88,30,-30.0,-1.0,sl,2026-02-17 13:50:00
2026-02-18,Wednesday,13:30,long,4959.41,4956.9,4966.95,4956.9,30,-30.0,-1.0,sl,2026-02-18 13:40:00
2026-02-19,Thursday,13:30,long,4990.51,4986.2,5003.42,4986.2,30,-30.0,-1.0,sl,2026-02-19 14:00:00
2026-02-20,Friday,13:30,long,5031.91,5025.19,5052.07,5052.07,30,90.0,3.0,tp,2026-02-20 14:30:00
2026-02-24,Tuesday,13:30,short,5149.65,5156.05,5130.47,5130.47,30,90.0,3.0,tp,2026-02-24 13:45:00
2026-02-25,Wednesday,13:30,long,5190.17,5186.98,5199.72,5186.98,30,-30.0,-1.0,sl,2026-02-25 13:40:00
